sentence,raw_aspect,sentiment
"Very nice mobile , , , cemera is soo good , , , nice warking , , , i love it",cemera,Positive
"Very nice mobile , , , cemera is soo good , , , nice warking , , , i love it",warking,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),Look,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),performance,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),facelock,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),fingerprint,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),camera,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),Display,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),value of Money,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),ram4g,Positive
Look 10 / 10 performance 10 / 10 facelock n fingerprint 10 / 10 camera 10 / 10 Display 10 / 10 value of Money 10 / 10 overall very nice phone under this 10999 / - ( ram4g / rom64gb ),rom64gb,Positive
Awesome phone in this budget,phone,Positive
Awesome phone in this budget,budget,Positive
True value for money,value,Positive
True value for money,money,Positive
The battery backup of this phone is very bad,battery backup,Negative
nice mobile value of money,mobile value,Positive
Nice one on mid range budget,budget,Positive
Nice phone and nice look,phone,Positive
Nice phone and nice look,look,Positive
Phone performance is awsome but in camera and battery life redmi note5 pro is better then this,performance,Positive
Phone performance is awsome but in camera and battery life redmi note5 pro is better then this,camera,Neutral
Phone performance is awsome but in camera and battery life redmi note5 pro is better then this,battery life,Neutral
Battery drains too fast,Battery,Negative
display and performance is very good,display,Positive
display and performance is very good,performance,Positive
best phone in looks with notch nd superb screen nd value for moneycons : camera is below averagebattery is below average,screen,Positive
best phone in looks with notch nd superb screen nd value for moneycons : camera is below averagebattery is below average,camera,Negative
"Words can ' t describe how beautiful it is , worth of every single penny , it looks premium , especially thanks to my country and founder of honor , atlast they have produce a special one",,
display is supup,display,Negative
"Bad worst third class phone , just look is good",phone,Negative
"Bad worst third class phone , just look is good",look,Positive
"Dual camera just for show off , I think secondary camera doesn ' t works , it just gives a bad artificial software portrait or bokeh effect",Dual camera,Neutral
"Dual camera just for show off , I think secondary camera doesn ' t works , it just gives a bad artificial software portrait or bokeh effect",secondary camera,Negative
"Dual camera just for show off , I think secondary camera doesn ' t works , it just gives a bad artificial software portrait or bokeh effect",bokeh,Negative
"Does this phone has a touch response problem in the screen , a lot of times when I touch the desired selection / execution is not made",touch response,Negative
"Does this phone has a touch response problem in the screen , a lot of times when I touch the desired selection / execution is not made",screen,Negative
And a few times when I touch at a place another place got selected / executed,,
Do any other customer / user is facing such problem,customer,Neutral
Do any other customer / user is facing such problem,problem,Negative
MOBILE LOOK IS PREMIUM,,
NICE CAMERA BUT SLOW CHARGING,CAMERA,Positive
NICE CAMERA BUT SLOW CHARGING,CHARGING,Negative
OTHERWISE PHONE IS GOOD,PHONE,Positive
it ' s a awesome mobile and I will be sure to get that,mobile,Positive
the Mobile doesn ' t satisfied camera and battery backup its juts ok,camera,Negative
the Mobile doesn ' t satisfied camera and battery backup its juts ok,battery backup,Negative
front cam is good but the processor is the worst thing in this mobile,front cam,Positive
front cam is good but the processor is the worst thing in this mobile,processor,Negative
awasome budget phone by honer,phone,Positive
awasome feeling to use this perfectly one handed device,feeling,Positive
Awesome design of phone,design,Positive
specially the back glass,back glass,Negative
just awesome camera and display,display,Positive
"Awesome display , high quality performance",display,Positive
"Awesome display , high quality performance",performance,Positive
Of course thanking Honor software,software,Positive
Also express delivery of ekart logistics,delivery,Positive
Camera quility super but batterybackup not good,Camera,Positive
Camera quility super but batterybackup not good,batterybackup,Negative
very poor battery backup dont buy this phone dont waste your money flipkart service is very poor,battery backup,Negative
very poor battery backup dont buy this phone dont waste your money flipkart service is very poor,flipkart service,Negative
fast delivery but poor parking,parking,Positive
Very very Poor experience with flipkart,flipkart,Negative
Bcz I purchas this phone with buyback option,buyback,Neutral
"But flipkart courier boy not excepting my old lenovo K3 note even it is in very good condition with running , no screeches on body & not any broken body",lenovo,Positive
"But flipkart courier boy not excepting my old lenovo K3 note even it is in very good condition with running , no screeches on body & not any broken body",running,Positive
"But he was not Accept phone bcz reason Is that phone battery cover is easily open , but actually he want to money 1550 / - so he was not accept that",battery cover,Negative
I think this is very big chitting with us that play by flipkart,flipkart,Positive
So next time by by flipkart & I also sh,,
"When ear phones are plugged , phone acts horrible",phone,Negative
"Suddenly volume changes to full , Google assist starts , music starts and all apps open and starts working as if someone pinched n made it to wake up",volume,Negative
"Suddenly volume changes to full , Google assist starts , music starts and all apps open and starts working as if someone pinched n made it to wake up",Google assist,Neutral
"Suddenly volume changes to full , Google assist starts , music starts and all apps open and starts working as if someone pinched n made it to wake up",music,Neutral
"Suddenly volume changes to full , Google assist starts , music starts and all apps open and starts working as if someone pinched n made it to wake up",apps,Positive
Good quality of product,quality,Positive
too slow phone hanging so much very bad processing,hanging,Negative
too slow phone hanging so much very bad processing,processing,Negative
Quality is excellent,Quality,Positive
"camera , battery good",camera,Positive
"camera , battery good",battery,Positive
excellent model nice backup good camera full speed,backup,Positive
excellent model nice backup good camera full speed,camera,Positive
excellent model nice backup good camera full speed,speed,Positive
very bad experience with logistic,logistic,Negative
never choose this if you are not in hurry because seller and logistic takes too much time / 20 days to delever this,seller,Negative
never choose this if you are not in hurry because seller and logistic takes too much time / 20 days to delever this,logistic,Negative
value of money thanks Flipkart fast delivery,delivery,Positive
Overall performance is gd,performance,Negative
But it takes tym for charging,tym,Negative
But it takes tym for charging,charging,Negative
Phone feels good for a budget segment,Phone,Positive
But a screen guard should also be given,screen guard,Neutral
"Battery is one which us crucial in phone that is only not good , except that everything in phone is worth for cost",Battery,Negative
"Battery is one which us crucial in phone that is only not good , except that everything in phone is worth for cost",cost,Positive
In every minute 1 % battery drains if you use phone,battery,Negative
just go for it you will love it,,
Very nice it,,
I like honor,honor,Positive
"Awesome phone value for money and the best part is the camera it ' s just awesome , very premium look",value,Positive
"Awesome phone value for money and the best part is the camera it ' s just awesome , very premium look",camera,Positive
"Awesome phone value for money and the best part is the camera it ' s just awesome , very premium look",look,Positive
very good look,look,Positive
value for amoney,value,Positive
full credit to makers,makers,Positive
worst mobile getting hot more than 50 degrees,mobile,Negative
you can not hold it in your hand,,
Got damaged product,product,Negative
Replaced the product with a new one on time,,
"One of the minus i feel about 9n is , while phone is ringing , its vibration is tooooo low",vibration,Negative
"If the phone is in vibration mode , we didn ' t even feel that the phone is ringing",vibration mode,Negative
It ' s look is good but not awasome,look,Neutral
Little issue for game lover,game,Negative
Because of bettery because if you play game then battery will be drain faster,battery,Negative
I am ok because previously i using moto e4 they 2800mah battery so i am comfortable,2800mah battery,Neutral
Good looking mobile really nice,mobile,Positive
Sound quality is little different and loud as i compared with my previous use device moto e4,Sound quality,Positive
This phone have big speaker but this is situated in lower side so some time it will guard buy ur cover or etc,speaker,Positive
This phone have big speaker but this is situated in lower side so some time it will guard buy ur cover or etc,cover,Neutral
All total phone is awesom > > I am really happy,phone,Positive
"very poor battery back - up , hanging & heating",battery,Negative
"very poor battery back - up , hanging & heating",hanging,Negative
"very poor battery back - up , hanging & heating",heating,Negative
i hope Samsung is better,Samsung,Neutral
Premium prodcut at budget,budget,Positive
glassy finish and iphone x like notch gives premium look,finish,Positive
glassy finish and iphone x like notch gives premium look,iphone,Positive
glassy finish and iphone x like notch gives premium look,look,Positive
crystal clear displayGood Rear Cam and Avg Front Camworth Buying for 14k,displayGood Rear Cam,Positive
Call recording is not available so one star otherwise mobile phone is good,Call,Negative
Just Go For It,,
phone is just asoum just rear camera is average but look asoumm in this range as compare to mi build quality,rear camera,Neutral
phone is just asoum just rear camera is average but look asoumm in this range as compare to mi build quality,build quality,Positive
Poor camera quality and battery performance,camera quality,Negative
Poor camera quality and battery performance,battery performance,Negative
If you are looking for a phone with good battery backup and camera quality pls don ' t buy this,battery backup,Negative
If you are looking for a phone with good battery backup and camera quality pls don ' t buy this,camera quality,Positive
Not good product wast of money,product,Negative
Not good product wast of money,money,Negative
stunning cameranice displaylooking wowjust go for itvalue for money,cameranice displaylooking,Positive
Battery backup are very bad i never thought Honor provide this type of battery backup,Battery backup,Negative
i am unhappy to buy this product over all phone is Good,phone,Neutral
Quick delivery and phone is superb and stylish lookLight weight and good battery powerBest camera phone for selfies,delivery,Positive
Quick delivery and phone is superb and stylish lookLight weight and good battery powerBest camera phone for selfies,lookLight weight,Positive
Quick delivery and phone is superb and stylish lookLight weight and good battery powerBest camera phone for selfies,battery powerBest camera,Positive
Excellent delivery by flip kart in just 20 hours,delivery,Positive
Very bad phn,,
very poor quality battery it just last for 2 hour,battery,Negative
It has awesome camera but it hang to much I brought this phn of 11999,camera,Positive
It has awesome camera but it hang to much I brought this phn of 11999,hang,Negative
I feel I have waste my money,money,Negative
Battery performance very poor don ' t buy this product,Battery performance,Negative
nice phone battery backup is really good love this phone,battery backup,Positive
camera results good and mobile screen good Nice Phone,camera,Positive
camera results good and mobile screen good Nice Phone,mobile screen,Positive
the product is good in look but the performance is average,look,Positive
the product is good in look but the performance is average,performance,Neutral
display size is to short in width,display size,Negative
True vale for money,vale,Positive
True vale for money,money,Positive
I have researched and compared many phones this is above in its category,,
This mobile is not for heavy user,mobile,Negative
Battery backup is poor,Battery backup,Negative
No proper screen protection,screen protection,Negative
No fast charging support,charging support,Negative
Go for Nokia X6 soon launching on flipkart,Nokia,Positive
thank you flipkart,flipkart,Positive
this product camera quality is very poor,camera quality,Negative
just westage of money,money,Negative
review star - 1000,,
and filpkert don ' t take any action for refund,filpkert,Negative
and filpkert don ' t take any action for refund,refund,Negative
completely got case,case,Positive
flipkert also don ' t check quality,quality,Negative
its complete look like dublicate,look,Negative
now i can ' t buy any product from Flipkart,,
"it ' s a very beautiful phone , camera is also good",phone,Positive
"it ' s a very beautiful phone , camera is also good",camera,Positive
Battery charging is very slow,Battery charging,Negative
but overall superb phone,phone,Positive
See the some captured photos,photos,Positive
When I put the recharging then It ' ll be hot it ' s very bad thing I ' m very disappointed 😞😞😞,recharging,Negative
I got a defective peace,peace,Negative
when i boot the phone thre is a black dot on the display,boot,Negative
when i boot the phone thre is a black dot on the display,display,Negative
Requested for replacement but no response,replacement,Negative
Requested for replacement but no response,response,Negative
Battery pack up is low,Battery pack,Negative
Wow amazing phone,phone,Positive
Superb phone and best value 😍such a nice phone,phone,Positive
Superb phone and best value 😍such a nice phone,value,Positive
Its a very good phone its been 3 years since i have been using it no peoblem with the phone till now,phone,Positive
We can say paisa wasool phone 😂,phone,Positive
It gives updates till now which wasn ' t expected from this phone,updates,Positive
Nice camera and performance for the price,camera,Positive
Nice camera and performance for the price,performance,Positive
Nice camera and performance for the price,price,Positive
Bettry is avarage,Bettry,Negative
Overall good phone,phone,Positive
I used honor 6x it was good,honor,Positive
"So , went for it blindly ( ordered",,
but the performance is really bad,performance,Negative
It gets hanged and gets restarting automatically,,
I won ' t buy anything from honor or any China companies mobiles,mobiles,Negative
Super Vera level mobile,mobile,Positive
Nice Phone value for money,value,Positive
Very best product😊 I am very happy😂 front camera is very best and display,front camera,Positive
Very best product😊 I am very happy😂 front camera is very best and display,display,Positive
after one year use my mobile is not working,mobile,Negative
in service centre they told me that mobile motherboard is dead,mobile motherboard,Negative
dont buy this mobile,mobile,Negative
share ur frnd about this,,
dont buy honor products,,
Not dual 4g volte,,
owesome honor 9n mobile,mobile,Positive
Value for money best camera,camera,Positive
Good working even after 1 year of using,working,Positive
great price in this price,price,Positive
good camerabattery backup awesome,camerabattery,Positive
their is a little bit battery draining problem ( very miner ) and the RAM should be little bit more as per the internal storage i ' m talking about 128 gb variant and apart from that in this price the phone is good you can buy,battery draining,Negative
their is a little bit battery draining problem ( very miner ) and the RAM should be little bit more as per the internal storage i ' m talking about 128 gb variant and apart from that in this price the phone is good you can buy,RAM,Negative
their is a little bit battery draining problem ( very miner ) and the RAM should be little bit more as per the internal storage i ' m talking about 128 gb variant and apart from that in this price the phone is good you can buy,internal storage,Negative
their is a little bit battery draining problem ( very miner ) and the RAM should be little bit more as per the internal storage i ' m talking about 128 gb variant and apart from that in this price the phone is good you can buy,price,Positive
Camera very very good quality,Camera,Positive
Camera very very good quality,quality,Positive
camera quality is very bad,camera quality,Negative
Price droped hugely with in a monthWORST BUY EVER,Price,Negative
Great phone in this price,phone,Positive
Great phone in this price,price,Positive
Very happy with this,,
Although it have 4 gb ram but the performance is very low you can ' t even play pubg on it,4 gb ram,Neutral
Although it have 4 gb ram but the performance is very low you can ' t even play pubg on it,performance,Negative
Although it have 4 gb ram but the performance is very low you can ' t even play pubg on it,pubg,Negative
Touch is butter smooth and camera is also good,Touch,Positive
Touch is butter smooth and camera is also good,camera,Positive
The only downthing is the battery Bacup which last only a day after normal usage,battery Bacup,Negative
Overall highly recommended,,
best phone with great performance at this price great product,performance,Positive
best phone with great performance at this price great product,price,Positive
You know everything about this phone,phone,Negative
You don ' t need my suggestion,suggestion,Positive
Make your own choice,,
i am allready honur 4x used,,
iam liked honur,honur,Positive
best mobile ever,mobile,Positive
"Excellent phone , Honor should improve battery backup",battery backup,Negative
Good product from Honor band as well as flipkart,,
1000 price had cut after I bought in just 2 days,price,Negative
"Review after 1 month usage , its overall good performance",performance,Positive
I bought 8999,,
Best price and super quality,price,Positive
Best price and super quality,quality,Positive
good product but speaker is not good 4,speaker,Negative
5 🌟 camera 2,camera,Neutral
5 🌟 battery 2 🌟 very slow charging 3,battery,Negative
5 🌟 battery 2 🌟 very slow charging 3,charging,Negative
5 🌟 performance1,performance1,Neutral
5 🌟 speaker speaker is not good very bad sound quality sound quality is bad,sound quality,Negative
nice phone under 8200good camgood performance,camgood performance,Positive
average quality phone not good more than 8k,quality,Negative
Mobile superb but back camera is very dull,back camera,Negative
Nice phone light wait value of money front camera is nice,wait,Positive
Nice phone light wait value of money front camera is nice,front camera,Positive
Value for moneyPerformance goodBattery performance not good,performance,Negative
"Overall mobile is good , Performance is best in their price segment , no hanging problem like Redmi & Samsung",mobile,Positive
"Overall mobile is good , Performance is best in their price segment , no hanging problem like Redmi & Samsung",Performance,Positive
"Overall mobile is good , Performance is best in their price segment , no hanging problem like Redmi & Samsung",hanging,Positive
Only drawback is both Cameras are not as good as in other models of different Brand in similar price segment,Cameras,Negative
Only drawback is both Cameras are not as good as in other models of different Brand in similar price segment,price,Neutral
Good mobile in my budget nice,mobile,Positive
Good mobile in my budget nice,budget,Positive
Phone was faulty batteryback is very poor upto 3 - 4 hour and heating issue custumer service is very disapointed they dont help me,batteryback,Negative
Phone was faulty batteryback is very poor upto 3 - 4 hour and heating issue custumer service is very disapointed they dont help me,heating,Negative
Phone was faulty batteryback is very poor upto 3 - 4 hour and heating issue custumer service is very disapointed they dont help me,custumer service,Negative
Not satisfied with this product,,
Poor battery life,battery life,Negative
better product under 9k,product,Positive
delivery boy behav worest,delivery,Negative
He is speaking bad words please take action on him,words,Negative
Poor battery backup,battery backup,Negative
Camera is not at all sharp,Camera,Negative
Not recomended for room light conditions,room,Negative
Portrait mode is awfull,,
go for redmi phones,redmi,Positive
The display is very goodand the mobile is light in weightcamera is decent and battery is good,display,Positive
The display is very goodand the mobile is light in weightcamera is decent and battery is good,weightcamera,Positive
The display is very goodand the mobile is light in weightcamera is decent and battery is good,battery,Positive
The best phone in this price😊😊HONOR👍,phone,Positive
The best phone in this price😊😊HONOR👍,price😊😊HONOR👍,Positive
"Nice mobile , 4gb + 64gb variant just 8099",mobile,Positive
Nice flipkart and huawei,huawei,Positive
Nice phone in this price range,phone,Positive
Nice phone in this price range,price range,Positive
Phone is awesome,Phone,Positive
and i like the performance of this but,performance,Positive
There is one problem with this phone that is battery problem,battery,Negative
Otherwise it best phone in this price,phone,Positive
Otherwise it best phone in this price,price,Positive
I will satisfy with this on this price,price,Positive
Product is nice good fast services,services,Positive
"Return policy is worst , flipkart didn ' t exchange the product even though the mobile is getting heated",Return policy,Negative
"notore options , less battery backup , not worthy",options,Negative
"notore options , less battery backup , not worthy",battery backup,Negative
The worst piece ever i have purchased,,
Phone just stopped working after 15 days and flipkart saying only 10 days allowed for returns,flipkart,Negative
Phone just stopped working after 15 days and flipkart saying only 10 days allowed for returns,returns,Negative
very nice mobile feature,feature,Positive
It ' s really nice phone value for money,value,Positive
It ' s really nice phone value for money,money,Positive
Verry gud product,,
Just Awesome no words to say,,
Best phone at best value price,phone,Positive
Best phone at best value price,value price,Positive
Not bad not good,,
Good at this price range on offer I got at 9500 satisfied,price range,Positive
was lucky to get it at 9499,,
pure value for money,value,Positive
its just awsome,,
very fast delivery,delivery,Positive
but i m again disappointed bcz didn ' t get headset with my phone,headset,Negative
otherwise all things gud,,
good in 9500 Every thank it perfect but battery drain is fast,battery drain,Negative
This is A very Amezing product wow I am very impressed it,,
But I don ' t know why Flipkart keeps changing the price of the product up and down by 500 every 3 - 4 days,price,Negative
I got it at 500 more,,
Disappointed by that,,
Excellent Phone In This Price Range,Phone,Positive
Excellent Phone In This Price Range,Price Range,Positive
battery life is extremely bad guy ' s don ' t buy this product,battery life,Negative
I love it this phone me I ' m in honor world,phone,Positive
"Sir , this mobile is very eassy and smooth performance",mobile,Positive
"Sir , this mobile is very eassy and smooth performance",performance,Positive
Now is best but future defactect any part so that not God,,
so happy on this Mobile,Mobile,Positive
now you can go with mi phones or Samsung M series phone which are having good battery and performance,battery,Positive
now you can go with mi phones or Samsung M series phone which are having good battery and performance,performance,Positive
poor battary backup bad product,backup,Negative
Looks Good ( Sapphire Blue ) Performance NiceCamera not so GoodBattery Backup Average,Looks,Positive
Looks Good ( Sapphire Blue ) Performance NiceCamera not so GoodBattery Backup Average,Performance,Positive
Looks Good ( Sapphire Blue ) Performance NiceCamera not so GoodBattery Backup Average,Backup,Neutral
Don ' t buy this mobile very bad battery life,battery life,Negative
within 9 months of purchase the display overheated and getting yellow spots i,display,Negative
better go with other brands,,
There is no earphones with mobile,mobile,Neutral
the phone is not able to provide 4 g volte direct video call,,
this is not mentioned in specifications,specifications,Negative
Honor is ditching their customers as no one will expect that it ' s not supported,supported,Negative
native video calling is also not supported,video calling,Negative
Nice I got 8999 64gb,,
performance also good,performance,Positive
Excellent Mobile and all the features work very well,Mobile,Positive
Excellent Mobile and all the features work very well,features,Positive
awesome very good items superb camara,camara,Positive
Excellent Phone Good Camera And Excellent Screen,Camera,Positive
Excellent Phone Good Camera And Excellent Screen,Screen,Positive
Cant able to sustain for 1 day,,
Sneha ullal i love you,,
bed mobile battary Very bed,bed mobile,Positive
Excellent phone and features in this price range,phone,Positive
Excellent phone and features in this price range,features,Positive
I am the old user of Huawei,Huawei,Neutral
Over all its a very good product,,
Awesome phone good performance good camera display is very awesome,performance,Positive
Awesome phone good performance good camera display is very awesome,camera display,Positive
when I open up the box and back panel phone was damage and it ' s comes off and flipkart deny to replace it and rejected to replace it ' s they taught me lesson I was going to buy an iPhone xs max from,box,Negative
when I open up the box and back panel phone was damage and it ' s comes off and flipkart deny to replace it and rejected to replace it ' s they taught me lesson I was going to buy an iPhone xs max from,back panel,Negative
flipkart thank God I ' m saved cause of this cheap phone I would like to buy from Apple Store now,,
"Good looking mobile , Front camera is awesome , display quality also good , Battery backup only one day if your mobile data in on full day , only issue that processing speed is slow , my previous mobile is samsung that is very fast compared to honor 9N",Front camera,Positive
"Good looking mobile , Front camera is awesome , display quality also good , Battery backup only one day if your mobile data in on full day , only issue that processing speed is slow , my previous mobile is samsung that is very fast compared to honor 9N",display quality,Positive
"Good looking mobile , Front camera is awesome , display quality also good , Battery backup only one day if your mobile data in on full day , only issue that processing speed is slow , my previous mobile is samsung that is very fast compared to honor 9N",Battery backup,Negative
"Good looking mobile , Front camera is awesome , display quality also good , Battery backup only one day if your mobile data in on full day , only issue that processing speed is slow , my previous mobile is samsung that is very fast compared to honor 9N",processing speed,Negative
Rest fineBattery is a big issue,,
Be careful before buying,buying,Negative
phone look very goodbattery goodcamera averagespeaker average,look,Positive
battery issue only,battery,Negative
its draining fast if you use the internet continue,,
front camera 10 out of 10 and rear camera 8,front camera,Positive
front camera 10 out of 10 and rear camera 8,rear camera,Positive
5 to 9 out of 10,,
sd card slod should be separate,,
overall you feel good coz it looks awesome,looks,Positive
11000 rs best performance,performance,Positive
camera quality is a super and phone is awesome,camera quality,Positive
camera quality is a super and phone is awesome,phone,Positive
Battery backup is not so good👎👎👎,Battery backup,Negative
Osm mobile that I got from honor,mobile,Neutral
It has amazing features,features,Positive
The performance is excellent,performance,Positive
I recommend my friends to buy this mobile,mobile,Positive
Awesome mobile in this price segment,mobile,Positive
People are telling about the battery but believe me it ' s not that bad,battery,Neutral
U can blindly go for this,,
Good for normal users,,
Not for gamers,gamers,Negative
very poor phone and the service from flipkart is very bad,phone,Negative
very poor phone and the service from flipkart is very bad,service,Negative
Good quality phone,quality phone,Positive
Battery back - up of honor 9N is very poor plz don ' t buy this product I waist my 11999 rupies,Battery,Negative
Battery back - up of honor 9N is very poor plz don ' t buy this product I waist my 11999 rupies,- up,Negative
Don ' t purchase mobile West for money is low,money,Positive
Ram management is great,Ram management,Positive
Battery life and camera both are good too,Battery life,Positive
Battery life and camera both are good too,camera,Positive
Phone fits in the hand perfectly,Phone fits,Positive
📷 5 / 3display 5 / 5performance 5 / 4battery 5 / 3design 5 / 5gaming 5 / 4,,
nice phone got on offer and exchange very happy,offer,Positive
nice phone got on offer and exchange very happy,exchange,Positive
value for moneybest look,look,Positive
Very nice product camera is awesome,camera,Positive
"The performance is really good at this price range , yeah the battery could ' ve been better but still it ' s sufficient for a whole day usage",performance,Positive
"The performance is really good at this price range , yeah the battery could ' ve been better but still it ' s sufficient for a whole day usage",battery,Negative
"Excellent , all thing ok , value for the money",thing,Neutral
"Excellent , all thing ok , value for the money",money,Positive
Nice phone with nice features,features,Positive
Very good camera quality Speed also goodBattery life good More options and more features available,camera quality Speed,Positive
Very good camera quality Speed also goodBattery life good More options and more features available,life,Positive
Very good camera quality Speed also goodBattery life good More options and more features available,features,Positive
quality is very worst,quality,Negative
Very disappointed with both the camera in potrai6mode,camera,Negative
Much more time required for chargingI want return this mobile,chargingI,Negative
I ' d say this phone is worth its price,price,Positive
I ' ve paid 10799 rupees for the 4gbR 64gbR,4gbR 64gbR,Neutral
The overall design of the handset is Outstanding,design,Positive
I ' ve been using the iPhone X theme and it goes quite well with it,iPhone X theme,Positive
I ' m sure you won ' t complain much for its price,price,Positive
Go ahead and try purchasing one yourself,,
Looks great but battery comparison is leeding disappointment,battery comparison,Negative
it as amazing device in this price rangeu should go for it,device,Positive
it as amazing device in this price rangeu should go for it,price,Positive
It is very very very very very very very good,,
Such a beautiful phone,phone,Positive
Just slides in your hand,,
UI is super smooth,UI,Positive
"worst camera , actually pathetic than worst , looks like b grade kids camera",camera,Negative
"The phone is awsome , i had ordered this for my dad , he really liked it",phone,Positive
"Dilivery service was great , in just 2 days phone was delivered",service,Positive
I amvery happy with the product,product,Positive
"Phone is good looking bt camera is nt gd , very poor quality 😔😔",camera,Negative
"Display veer good , performance very good but battery life is average",Display,Positive
"Display veer good , performance very good but battery life is average",performance,Positive
"Display veer good , performance very good but battery life is average",battery life,Neutral
Facing the Hear Phone Problem and replacement has done again i am facing Ringtone is ringing while calling only 10 seconds its to bad to purchase this phone,Hear Phone,Negative
Facing the Hear Phone Problem and replacement has done again i am facing Ringtone is ringing while calling only 10 seconds its to bad to purchase this phone,Ringtone,Negative
Killer like James bond,James bond,Negative
I am not happy with the price because I have purchased this then Flipkart is selling this phone MM lens then my purchasing price so I request you to please can you send me gift voucher in place of 2000 rupees or send me your rupees in place of this because it is not provide good impact on your customer I am very disappointed for this if you do this then I you ' ll understand that Flipkart understand us,price,Negative
I am not happy with the price because I have purchased this then Flipkart is selling this phone MM lens then my purchasing price so I request you to please can you send me gift voucher in place of 2000 rupees or send me your rupees in place of this because it is not provide good impact on your customer I am very disappointed for this if you do this then I you ' ll understand that Flipkart understand us,gift voucher,Neutral
The set performance is good,set performance,Positive
But there is no vedio calling facility in Dailler mode,,
So before purchasing the it think about it,purchasing,Negative
I am really satisfied with this product,,
The only issue I noticed is the camera which captures unrealistic photos,camera,Negative
The only issue I noticed is the camera which captures unrealistic photos,photos,Negative
like you have set a filter,filter,Neutral
Front camera is that good,Front camera,Positive
"If you take a selfie It will make ur face colour odd , I didn ' t like that",face colour,Negative
Depth sencer is not that good,Depth,Negative
can ' t recognize the edges correctly many times,edges,Negative
But over all this product is mind blowing with this budget price,price,Positive
If camera is not your first priority then you can go for it,camera,Positive
good mobile but battery is not good,battery,Negative
Phones performance is good,performance,Positive
Battery not so good,Battery,Negative
Should have been more powerful,,
Camera is quite good,Camera,Positive
Front 16mp cam is very good,cam,Positive
I didn ' t like this colour purple because iits too light color,purple,Negative
I didn ' t like this colour purple because iits too light color,color,Negative
Blue is actually the best colour,Blue,Positive
Blue is actually the best colour,colour,Positive
Awesome camera clarity,clarity,Positive
Happy for choosing this mobile,mobile,Positive
"Worst experience , camera app is not opening , it works very slow , battery backup is worst",camera app,Negative
"Worst experience , camera app is not opening , it works very slow , battery backup is worst",battery backup,Negative
👌nice display👍good performance👎battery very bad,display👍good performance👎battery,Negative
good phone in 14k,phone,Positive
processors are pretty good,processors,Positive
"Don ' t buy this phone , lots of network issues n pure mobile data connectivity",network,Negative
"Don ' t buy this phone , lots of network issues n pure mobile data connectivity",data connectivity,Negative
excellent mobile with average camera,mobile,Positive
excellent mobile with average camera,camera,Neutral
The Camera is of no use in Dark the screen comparitively is smallthe battery is really poor,Camera,Negative
The Camera is of no use in Dark the screen comparitively is smallthe battery is really poor,screen,Negative
The Camera is of no use in Dark the screen comparitively is smallthe battery is really poor,battery,Negative
Good looking light weight nice cemera phone,looking,Positive
Good looking light weight nice cemera phone,weight,Positive
perfect phone in this price,phone,Positive
perfect phone in this price,price,Positive
camera perforem excellent display quality better ram managenment excellent but battery drain very fastly go for it,camera perforem,Positive
camera perforem excellent display quality better ram managenment excellent but battery drain very fastly go for it,display quality,Positive
camera perforem excellent display quality better ram managenment excellent but battery drain very fastly go for it,ram managenment,Positive
camera perforem excellent display quality better ram managenment excellent but battery drain very fastly go for it,battery drain,Negative
mobile is veryyyyyyyy slow,mobile,Negative
am not satisfied,,
Poor Camera quality and badly hang this phone,Camera quality,Negative
Poor Camera quality and badly hang this phone,hang,Negative
Performance it not well accoeding to 4gb ram,Performance,Negative
Performance it not well accoeding to 4gb ram,4gb ram,Negative
Camera 4 / 5 : Good frontcam,Camera,Positive
Camera 4 / 5 : Good frontcam,frontcam,Positive
portrait mode is poordisplay 4,portrait,Negative
5 / 5 : An excellent quality one,quality,Positive
Almost like amoledbattery 2,,
5 / 5 : Battery drains too fast on frequent usage,Battery,Negative
